Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
2500000,0.63635045,21.269968763944668,-0.63208437,0.1778776123671828,0.1778776123671828,0.0027861341,0.21042438,0.002274231,0.00042346318,0.014002591,0.0010000002,1.0
2600000,0.8016034,18.60703577853288,-0.5807139,0.28594230808497856,0.28594230808497856,0.002190134,0.16635773,0.0016888746,0.000374162,0.014855604,0.0010000002,1.0
2700000,0.8653283,21.758020786262993,-0.55999786,0.0799803927382292,0.0799803927382292,0.002157377,0.1857389,0.0014983503,0.00050758885,0.014228145,0.0010000002,1.0
2800000,0.70300514,16.356178431037428,-0.36462542,0.5325349358388443,0.5325349358388443,0.0023694206,0.008069203,0.000978711,0.0007606232,0.029754957,0.0010000002,1.0
2900000,0.5505511,20.105508474576272,-0.39570683,0.23749542330918652,0.23749542330918652,0.0023850796,0.16305909,0.0015987549,0.00063800137,0.007885834,0.0010000002,1.0
3000000,0.7025805,22.634099616858236,-0.46674746,0.30567738183023146,0.30567738183023146,0.0026183648,0.14478806,0.0020131676,0.0004898292,0.016243886,0.0010000002,1.0
3100000,0.8646512,23.003803185167577,-0.48856357,-0.05494107872000227,-0.05494107872000227,0.002505219,0.17006479,0.0018213895,0.00054043904,0.016191773,0.0010000002,1.0
3200000,0.78537804,19.474722564734897,-0.48926637,0.22397932281037583,0.22397932281037583,0.0023969247,0.15332879,0.0018238132,0.00044259077,0.015683608,0.0010000002,1.0
3300000,0.7950625,21.37550200803213,-0.5089159,0.26514492364775993,0.26514492364775993,0.0025810362,0.1662336,0.0020007868,0.00048278892,0.016483035,0.0010000002,1.0
3400000,0.5257979,15.253770066482893,-0.55369157,0.4108043335360042,0.4108043335360042,0.0023305046,0.13866895,0.0019128269,0.00033845674,0.016747482,0.0010000002,1.0
3500000,0.6478164,16.490912268437608,-0.52129984,0.22609911471725114,0.22609911471725114,0.002183061,0.16106436,0.0016653257,0.00041625582,0.010349198,0.0010000002,1.0
3600000,0.7479975,21.11779113783122,-0.5115084,0.3072387957599457,0.3072387957599457,0.0024875237,0.16231458,0.0019491551,0.00045983365,0.017425228,0.0010000002,1.0
3700000,0.709784,17.692393527989584,-0.47153953,0.3270511705298378,0.3270511705298378,0.002306366,0.1454091,0.001746503,0.0004673956,0.0150016295,0.0010000002,1.0
3800000,0.94576246,21.16485225505443,-0.4731603,-0.08918824611529277,-0.08918824611529277,0.0022610754,0.16467771,0.0016054704,0.00054383406,0.010725326,0.0010000002,1.0
3900000,0.86734873,22.742741551642077,-0.5273054,-0.3702065535998679,-0.3702065535998679,0.0017249817,0.19566073,0.0012288961,0.00040859688,0.011155126,0.0010000002,1.0
4000000,0.8172109,16.619834710743802,-0.54280967,0.08598031529059055,0.08598031529059055,0.0021194434,0.15209529,0.0017127289,0.00030165148,0.018306075,0.0010000002,1.0
4100000,0.4233973,15.00736,-0.56675506,0.22326092922369054,0.22326092922369054,0.0017564918,0.16772902,0.0015740987,0.000119528435,0.00907475,0.0010000002,1.0
4200000,0.87898326,20.05380411937789,-0.5154277,0.21188363461733264,0.21188363461733264,0.0024305382,0.16709581,0.00172239,0.0006089255,0.015649086,0.0010000002,1.0
4300000,0.58464026,17.941909509202453,-0.5408023,0.36727195619897857,0.36727195619897857,0.002451941,0.12963565,0.0019303365,0.0004138495,0.018636925,0.0010000002,1.0
4400000,0.8734756,18.706747744213416,-0.5401131,0.07622886966930002,0.07622886966930002,0.0015225944,0.19586636,0.0010243614,0.00030872747,0.007310276,0.0010000002,1.0
4500000,1.1415485,21.590868397493285,-0.3604848,0.024430072435912435,0.024430072435912435,0.0026608119,0.055721674,0.0012785658,0.0009834531,0.034804486,0.0010000002,1.0
4600000,0.57422763,16.11885949845414,-0.48489088,0.4927552975062441,0.4927552975062441,0.0022767894,0.113605864,0.0018166966,0.00036431508,0.017249785,0.0010000002,1.0
4700000,0.66802204,17.641527001862197,-0.5142463,0.34129318498939226,0.34129318498939226,0.0023098527,0.1584828,0.0017767354,0.00041827542,0.014234683,0.0010000002,1.0
4800000,0.7822715,20.510036693287287,-0.5336783,0.19512203582934634,0.19512203582934634,0.0024229172,0.17255491,0.0018992914,0.00043417956,0.016311062,0.001,1.0
4900000,0.8318464,33.61242192921582,-0.5770675,-0.9225999761512309,-0.9225999761512309,0.0012439385,0.32817754,0.0006083945,0.00050940405,0.0019737456,0.0010000002,1.0
