Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
9600000,0.36917117,0.5535699,12.586628618018752,1311.4897653795651,0.9769440414303023,0.9769440414303023,0.0165467,1.1108489,5.2246993e-05,1.0
9700000,0.33184713,0.41467744,12.295134272799787,1311.7532086841009,0.977618383857298,0.977618383857298,0.05776142,1.1525184,5.173682e-05,1.0
9800000,0.30021745,0.4345706,12.121017438049037,1313.9155919267562,0.9781316730422683,0.9781316730422683,0.050909583,1.1738391,5.1231287e-05,1.0
9900000,0.34652126,0.38788584,12.233876307773805,1316.485612182662,0.9779438686635864,0.9779438686635864,0.068191215,1.1553862,5.074751e-05,1.0
10000000,0.32993013,0.46246728,12.176439583607854,1319.482832683084,0.9778015762547885,0.9778015762547885,0.0521789,1.1651181,5.0265127e-05,1.0
10100000,0.32288152,0.47834292,12.129201680672269,1322.117732228028,0.9781180196324316,0.9781180196324316,0.037518263,1.1688342,4.976158e-05,1.0
10200000,0.3788942,0.45509112,12.355502136752136,1323.9148075398705,0.9774842161812589,0.9774842161812589,0.044479627,1.1353229,4.925494e-05,1.0
10300000,0.36566606,0.33844814,12.30889007186585,1324.9660259506222,0.9775821791784796,0.9775821791784796,0.092106424,1.1444463,4.8748047e-05,1.0
10400000,0.34493995,0.41497302,12.193956986409816,1327.0487511700094,0.9777780041198867,0.9777780041198867,0.062450077,1.1540437,4.8244536e-05,1.0
10500000,0.32070547,0.44300145,12.101532818026987,1329.3153764927563,0.978164130521917,0.978164130521917,0.051018745,1.172208,4.7740385e-05,1.0
10600000,0.3444776,0.4523818,12.296941489361702,1331.6046191541407,0.9776058707148471,0.9776058707148471,0.047753353,1.1465884,4.7236146e-05,1.0
10700000,0.30396873,0.48458847,12.121900013121637,1334.760565479179,0.9781301852646594,0.9781301852646594,0.037471723,1.1660532,4.6733698e-05,1.0
10800000,0.3715294,0.403793,12.583129584352077,1334.9111600034487,0.9765101641424646,0.9765101641424646,0.06184796,1.1082534,4.6244546e-05,1.0
10900000,0.3096302,0.32220662,12.191003825352857,1334.7562253565018,0.9780151961488501,0.9780151961488501,0.10805318,1.13559,4.5759458e-05,1.0
11000000,0.288477,0.61949986,12.046836268754078,1338.229098778826,0.9782552936694549,0.9782552936694549,0.017487453,1.1163374,4.5255758e-05,1.0
